101,Terry,71,6,1700
102,Timothy,71,6,1700
103,Nicholas,71,6,1700
201,Darlene,71,6,1700
202,April,71,6,1700
203,Martha,32,6,125000000
301,Beverley,42,4,10500000
302,Bryan,51,6,5800000000
303,Thelma,51,6,5800000000
401,Bernard,43,4,10500000
402,Diana,41,6,520000000
403,Jorge,61,3,120000000
501,Mary,52,6,5800000000
502,Roger,41,5,40000000
503,Clifford,11,5,0
601,Elsie,32,6,125000000
602,Anthony,31,6,125000000
603,Norman,43,6,520000000
701,Carrie,52,3,15500000
702,Debra,61,4,400000000
703,Marcus,61,5,2000000000
801,Marilyn,71,6,1700
802,Danielle,31,5,10000000
803,Judith,61,3,120000000
901,Raymond,11,5,0
902,Bonnie,61,5,2000000000
903,Mary,44,6,520000000
1001,Erin,31,5,10000000
1002,Jack,61,5,2000000000
1003,Regina,61,5,2000000000
1101,Thomas,52,3,15500000
1102,Vivian,44,5,40000000
1103,Lauren,41,6,520000000
1201,Carmen,52,4,55000000
1202,Vivian,52,4,55000000
1203,Craig,51,4,55000000
1301,Janice,52,4,55000000
1302,Andrew,71,6,1700
1303,Karen,52,6,5800000000
1401,Edith,52,6,5800000000
1402,Vanessa,52,4,55000000
1403,Shirley,44,5,40000000
1501,Dawn,42,5,40000000
1502,Rhonda,42,6,520000000
1503,Kenneth,41,6,520000000
1601,Eugene,51,3,15500000
1602,Sally,51,6,5800000000
1603,Marcus,61,3,120000000
1701,Melvin,61,4,400000000
1702,Leon,71,6,1700
1703,Diane,51,4,55000000
1801,Adam,51,3,15500000
1802,Jerry,44,5,40000000
1803,Dustin,61,5,2000000000
1901,Howard,71,6,1700
1902,Carlos,42,6,520000000
1903,Jay,42,6,520000000
2001,Phyllis,51,5,260000000
2002,Carolyn,52,5,260000000
2003,Walter,43,5,40000000
2101,Joanne,61,5,2000000000
2102,Roy,61,3,120000000
2103,Ricardo,51,3,15500000
2201,Raymond,43,6,520000000
2202,Carl,44,5,40000000
2203,Craig,12,5,0
2301,Eva,52,6,5800000000
2302,Kenneth,51,5,260000000
2303,Rita,44,5,40000000
2401,Florence,52,3,15500000
2402,Dustin,52,3,15500000
2403,Brandon,51,4,55000000
2501,Julia,61,6,48000000000
2502,Anita,51,4,55000000
2503,Anne,44,5,40000000
2601,Chad,32,5,10000000
2602,Jesus,32,5,10000000
2603,Clarence,51,6,5800000000
2701,Lori,61,3,120000000
2702,Nicholas,41,6,520000000
2703,Steve,51,4,55000000
2801,Justin,61,4,400000000
2802,Jason,52,5,260000000
2803,Fransisco,43,5,40000000
2901,Zachary,51,3,15500000
2902,Shane,51,2,5000000
2903,Robin,44,6,520000000
3001,Kathy,51,6,5800000000
3002,Sara,61,3,120000000
3003,Hector,51,4,55000000
3101,Jean,52,6,5800000000
3102,Eugene,51,4,55000000
3103,Peter,41,6,520000000
3201,Bernard,61,5,2000000000
3202,Anna,51,5,260000000
3203,Howard,52,5,260000000
3301,Suzanne,61,3,120000000
3302,Randall,52,5,260000000
3303,Howard,41,4,10500000
3401,Charlotte,61,6,48000000000
3402,Wesley,52,5,260000000
3403,Philip,24,6,22000000
3501,Irene,51,3,15500000
3502,Alice,44,4,10500000
3503,Christina,31,5,10000000
3601,Hector,52,6,5800000000
3602,Esther,44,6,520000000
